Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Aurora,9,30,100%,7,2,78%,6.6,3.6,32:52:00,7.9,678,402,0.6,76,-10
 Yone,18,19,95%,13,5,72%,4.4,3.2,32:14:00,9.6,711,451,6.7,434,372
 Rell,26,5,79%,15,11,58%,3,8.8,34:22:00,1,144,247,-0.5,11,-58
 Jax,15,15,77%,6,9,40%,2.6,5,35:00:00,7.8,403,396,-8.9,-128,-201
 Skarner,13,17,77%,7,6,54%,3.9,4,31:48:00,5.8,372,332,2.4,77,77
 Ziggs,5,24,74%,2,3,40%,3.9,4.5,32:33:00,9.7,735,451,15,685,877
 Ashe,5,23,72%,3,2,60%,6.6,6.4,34:26:00,9.7,654,457,-1.6,4,164
 Gnar,17,11,72%,11,6,65%,3.1,4,32:43:00,8,520,402,-6.6,-551,-547
 Kaisa,18,10,72%,10,8,56%,5.9,8.4,33:01:00,10,792,472,-4.8,-344,-86
 Poppy,9,17,67%,2,7,22%,1.9,6.5,35:25:00,2.6,256,261,2.4,61,-20
 Kalista,11,15,67%,9,2,82%,5.5,7.4,34:39:00,9.1,605,447,-7.6,-218,-504
 Vi,15,9,62%,7,8,47%,2.6,4.3,34:31:00,6.1,295,345,-3,-27,224
 Jhin,14,9,59%,5,9,36%,5.3,8.2,33:09:00,9.6,593,419,4.9,83,248
 Rumble,10,12,56%,6,4,60%,4.1,3.5,33:53:00,7.6,679,388,3.4,251,487
 Leona,16,5,54%,11,5,69%,2.8,9.4,34:05:00,1.1,189,246,-1.8,-225,-60
 Sejuani,15,6,54%,7,8,47%,3.4,5.3,33:11:00,5.5,302,318,-4.1,-36,-181
 Orianna,9,11,51%,3,6,33%,3.5,2.5,33:47:00,8.1,587,382,8.1,-45,139
 Renekton,7,13,51%,3,4,43%,2,4.1,36:41:00,8.1,381,386,10.1,123,470
 Smolder,12,7,49%,3,9,25%,2.8,6.1,33:15:00,9.7,801,428,-6.2,-269,-399
 Ahri,12,4,41%,7,5,58%,6.7,5.5,35:04:00,8.6,699,429,-0.8,157,97
 Ezreal,5,11,41%,2,3,40%,4.3,7.8,34:58:00,10,832,445,6.8,-44,-297
 Renata Glasc,6,10,41%,3,3,50%,3.3,7.1,34:55:00,1.2,194,252,-1.8,215,404
 Maokai,8,6,36%,5,3,63%,3.7,6.3,33:20:00,5.1,284,311,-8.5,-555,-318
 Nocturne,10,4,36%,5,5,50%,4.5,6,32:51:00,6.5,330,352,5.2,76,-52
 Lucian,3,9,31%,0,3,0%,2.2,5.6,40:23:00,8.6,667,384,2.7,-266,-17
 Xayah,5,7,31%,2,3,40%,2.8,9,32:39:00,10.4,670,460,-1,305,17
 Rakan,6,6,31%,1,5,17%,3.1,8.3,30:42:00,1.3,132,239,-0.3,-101,199
 Alistar,5,6,28%,0,5,0%,1.2,8.8,32:13:00,1.1,114,209,4.6,-116,-13
 KSante,6,5,28%,2,4,33%,2.9,6.8,31:35:00,7.1,359,361,0.2,336,399
 Nidalee,0,10,26%,,,,,3.4,,,,,,,
 Ivern,3,7,26%,2,1,67%,6.2,2.7,39:05:00,5.9,176,341,0.3,366,-174
 Nautilus,5,3,21%,2,3,40%,1.6,9,29:08:00,1.2,199,248,1.2,33,-501
 Akali,5,2,18%,0,5,0%,0.9,3,27:54:00,8.2,444,352,-7,-1107,-351
 Braum,4,3,18%,4,0,100%,6.6,6.7,35:12:00,1.1,189,263,2.8,617,536
 Neeko,5,2,18%,2,3,40%,3.2,6,30:45:00,5.3,494,336,10,693,568
 Tristana,3,3,15%,1,2,33%,3.5,7.7,32:16:00,8.9,639,430,-10.7,-434,-508
 Brand,1,4,13%,1,0,100%,8,4,33:28:00,7.7,845,430,30,1976,1292
 LeBlanc,1,4,13%,1,0,100%,14,5.3,35:36:00,8.4,1058,434,12,120,570
 Miss Fortune,4,1,13%,3,1,75%,5.9,10,34:29:00,9.7,885,487,4.2,507,102
 Shyvana,0,5,13%,,,,,1.8,,,,,,,
 Syndra,3,2,13%,0,3,0%,2.1,8,34:06:00,7.6,554,380,-5.3,-533,-424
 Wukong,4,1,13%,2,2,50%,3.3,5,32:14:00,5.9,392,352,0.5,376,-42
 Zyra,3,2,13%,0,3,0%,2.4,5,35:29:00,6.8,656,358,22.7,437,773
 Sylas,4,1,13%,4,0,100%,4.9,8,33:47:00,8.5,548,437,-7.5,188,-145
 Cassiopeia,3,1,10%,1,2,33%,2.4,3,36:09:00,8.7,467,378,-1,-573,-462
 Olaf,3,1,10%,1,2,33%,1.6,8,33:13:00,7.8,621,393,-20.7,-861,-986
 Amumu,2,1,8%,0,2,0%,2.2,8,33:27:00,6.2,525,327,23.5,-110,597
 Draven,2,1,8%,1,1,50%,2.5,9,26:36:00,9.1,573,512,-11,1220,-90
 Galio,3,0,8%,2,1,67%,4.6,-,35:48:00,7.4,477,370,2.7,662,235
 Varus,3,0,8%,0,3,0%,1.6,-,36:25:00,9.2,439,403,2.7,-278,-398
 Yasuo,2,1,8%,1,1,50%,3.1,7,35:36:00,8.4,423,419,2,408,632
 Jarvan IV,1,1,5%,1,0,100%,6.3,5,33:07:00,6.2,397,411,-28,-563,-964
 Jinx,1,1,5%,0,1,0%,4.5,3,45:13:00,10.1,685,422,19,315,1046
 Kennen,2,0,5%,1,1,50%,4.8,-,38:42:00,8,719,390,11.5,-14,-280
 Nami,1,1,5%,0,1,0%,12,8,42:14:00,1.1,259,217,3,116,20
 Sion,2,0,5%,1,1,50%,1.4,-,29:11:00,8.2,377,348,25.5,789,272
 Blitzcrank,0,1,3%,,,,,7,,,,,,,
 Darius,1,0,3%,0,1,0%,1.3,-,33:28:00,7.6,414,348,-15,-952,-1226
 Gragas,1,0,3%,1,0,100%,14,-,28:08:00,8,500,428,3,477,355
 Jayce,1,0,3%,1,0,100%,7,-,28:09:00,8.2,1063,478,27,1544,1302
 Nunu,1,0,3%,1,0,100%,21,-,37:44:00,6.8,398,403,-24,-1259,-1260
 Twitch,1,0,3%,1,0,100%,17,-,33:11:00,9.8,940,498,-15,323,57
 Urgot,1,0,3%,0,1,0%,2.3,-,33:26:00,10.2,640,474,20,445,613
 Xin Zhao,1,0,3%,1,0,100%,11,-,32:48:00,7.2,341,383,2,647,14
 Tahm Kench,0,1,3%,,,,,10,,,,,,,
 Kindred,0,1,3%,,,,,5,,,,,,,
 Taliyah,0,1,3%,,,,,7,,,,,,,
 Camille,1,0,3%,1,0,100%,6.5,-,39:50:00,8.8,554,466,15,821,448
 Lillia,1,0,3%,0,1,0%,4,-,45:40:00,6.7,386,347,-7,-865,-495
 Viego,0,1,3%,,,,,10,,,,,,,
 Hwei,1,0,3%,1,0,100%,19,-,37:44:00,7.2,778,442,-11,-26,-727
 Aatrox,0,0,0%,,,,,-,,,,,,,
 Anivia,0,0,0%,,,,,-,,,,,,,
 Annie,0,0,0%,,,,,-,,,,,,,
 Caitlyn,0,0,0%,,,,,-,,,,,,,
 Chogath,0,0,0%,,,,,-,,,,,,,
 Corki,0,0,0%,,,,,-,,,,,,,
 Diana,0,0,0%,,,,,-,,,,,,,
 Dr. Mundo,0,0,0%,,,,,-,,,,,,,
 Elise,0,0,0%,,,,,-,,,,,,,
 Evelynn,0,0,0%,,,,,-,,,,,,,
 Fiddlesticks,0,0,0%,,,,,-,,,,,,,
 Fiora,0,0,0%,,,,,-,,,,,,,
 Fizz,0,0,0%,,,,,-,,,,,,,
 Gangplank,0,0,0%,,,,,-,,,,,,,
 Garen,0,0,0%,,,,,-,,,,,,,
 Graves,0,0,0%,,,,,-,,,,,,,
 Hecarim,0,0,0%,,,,,-,,,,,,,
 Heimerdinger,0,0,0%,,,,,-,,,,,,,
 Irelia,0,0,0%,,,,,-,,,,,,,
 Janna,0,0,0%,,,,,-,,,,,,,
 Karma,0,0,0%,,,,,-,,,,,,,
 Karthus,0,0,0%,,,,,-,,,,,,,
 Kassadin,0,0,0%,,,,,-,,,,,,,
 Katarina,0,0,0%,,,,,-,,,,,,,
 Kayle,0,0,0%,,,,,-,,,,,,,
 KhaZix,0,0,0%,,,,,-,,,,,,,
 KogMaw,0,0,0%,,,,,-,,,,,,,
 Lee Sin,0,0,0%,,,,,-,,,,,,,
 Lissandra,0,0,0%,,,,,-,,,,,,,
 Lulu,0,0,0%,,,,,-,,,,,,,
 Lux,0,0,0%,,,,,-,,,,,,,
 Malphite,0,0,0%,,,,,-,,,,,,,
 Malzahar,0,0,0%,,,,,-,,,,,,,
 Master Yi,0,0,0%,,,,,-,,,,,,,
 Mordekaiser,0,0,0%,,,,,-,,,,,,,
 Morgana,0,0,0%,,,,,-,,,,,,,
 Nasus,0,0,0%,,,,,-,,,,,,,
 Pantheon,0,0,0%,,,,,-,,,,,,,
 Quinn,0,0,0%,,,,,-,,,,,,,
 Rammus,0,0,0%,,,,,-,,,,,,,
 Rengar,0,0,0%,,,,,-,,,,,,,
 Riven,0,0,0%,,,,,-,,,,,,,
 Ryze,0,0,0%,,,,,-,,,,,,,
 Shaco,0,0,0%,,,,,-,,,,,,,
 Shen,0,0,0%,,,,,-,,,,,,,
 Singed,0,0,0%,,,,,-,,,,,,,
 Sivir,0,0,0%,,,,,-,,,,,,,
 Sona,0,0,0%,,,,,-,,,,,,,
 Soraka,0,0,0%,,,,,-,,,,,,,
 Swain,0,0,0%,,,,,-,,,,,,,
 Talon,0,0,0%,,,,,-,,,,,,,
 Taric,0,0,0%,,,,,-,,,,,,,
 Teemo,0,0,0%,,,,,-,,,,,,,
 Thresh,0,0,0%,,,,,-,,,,,,,
 Trundle,0,0,0%,,,,,-,,,,,,,
 Tryndamere,0,0,0%,,,,,-,,,,,,,
 Twisted Fate,0,0,0%,,,,,-,,,,,,,
 Udyr,0,0,0%,,,,,-,,,,,,,
 Vayne,0,0,0%,,,,,-,,,,,,,
 Veigar,0,0,0%,,,,,-,,,,,,,
 Viktor,0,0,0%,,,,,-,,,,,,,
 Vladimir,0,0,0%,,,,,-,,,,,,,
 Volibear,0,0,0%,,,,,-,,,,,,,
 Warwick,0,0,0%,,,,,-,,,,,,,
 Xerath,0,0,0%,,,,,-,,,,,,,
 Yorick,0,0,0%,,,,,-,,,,,,,
 Zac,0,0,0%,,,,,-,,,,,,,
 Zed,0,0,0%,,,,,-,,,,,,,
 Zilean,0,0,0%,,,,,-,,,,,,,
 Azir,0,0,0%,,,,,-,,,,,,,
 RekSai,0,0,0%,,,,,-,,,,,,,
 VelKoz,0,0,0%,,,,,-,,,,,,,
 Bard,0,0,0%,,,,,-,,,,,,,
 Ekko,0,0,0%,,,,,-,,,,,,,
 Illaoi,0,0,0%,,,,,-,,,,,,,
 Aurelion Sol,0,0,0%,,,,,-,,,,,,,
